,val_loss,val_accuracy,loss,accuracy
0,0.6814447045326233,0.7426861524581909,1.325605912358261,0.5807405114173889
1,0.5237520933151245,0.822311282157898,0.792674694743674,0.7541883587837219
2,0.3385477066040039,0.8376753330230713,0.6820689412501266,0.7822046875953674
3,0.5364330410957336,0.851703405380249,0.592578295492948,0.7996621131896973
4,0.6250718832015991,0.8430193662643433,0.5374558921533622,0.8204984068870544
5,0.5681366324424744,0.849031388759613,0.5096664239944714,0.8268337249755859
6,0.5933281183242798,0.8530393838882446,0.4537459216570327,0.8379557728767395
7,0.18189546465873718,0.849031388759613,0.45112893727150294,0.8382373452186584
8,0.5175949335098267,0.8456913828849792,0.42264642120078877,0.8443130850791931
9,0.3939239978790283,0.8617234230041504,0.40195799688408657,0.8515911102294922
10,0.3484289348125458,0.8483633995056152,0.37093250828780844,0.8601999282836914
11,0.13768714666366577,0.8670674562454224,0.35911386841773046,0.8700549006462097
12,0.4136492609977722,0.8550434112548828,0.35927575678745155,0.8652681708335876
13,0.20682783424854279,0.8557114005088806,0.34914649445440304,0.8689286112785339
14,0.2831626534461975,0.859719455242157,0.33556157940460835,0.868647038936615
15,0.3324233889579773,0.8456913828849792,0.326700428896482,0.8773757815361023
16,0.33186212182044983,0.8677354454994202,0.32876906819105584,0.8732929825782776
17,0.33126598596572876,0.857047438621521,0.3294974946425305,0.8775337934494019
18,0.6501085758209229,0.8483633995056152,0.3099624625404799,0.8843987584114075
19,0.2642310857772827,0.8670674562454224,0.3057574602175679,0.8848373889923096
