,val_loss,val_accuracy,loss,accuracy
0,0.7989886999130249,0.664893627166748,0.9363868995634549,0.6041109561920166
1,0.30760854482650757,0.8203072547912598,0.6272822341146258,0.7575672268867493
2,0.41330334544181824,0.8403473496437073,0.45398756605746726,0.8383781313896179
3,0.3632466793060303,0.8530393838882446,0.3767956686274998,0.8697733283042908
4,0.6015787124633789,0.8470273613929749,0.36048924529382953,0.8762494921684265
5,0.5746907591819763,0.8269873261451721,0.3319073828440996,0.8821624517440796
6,0.8590010404586792,0.8363393545150757,0.31144209680012813,0.8914543390274048
7,0.17689350247383118,0.8483633995056152,0.2973374539460999,0.8925806283950806
8,0.9513447880744934,0.8376753330230713,0.26862485083109827,0.9037026762962341
9,0.7083439826965332,0.8390113711357117,0.2540953409027409,0.9079391956329346
